ts_code,name,report_date,year,analyst_count,eps_avg,eps_max,eps_min,np_avg,np_max,np_min,revenue_avg,target_price_avg,rating_buy,rating_hold,rating_neutral,rating_sell
600519,贵州茅台,2025-10-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-10-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-10-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-10-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-10-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-10-17,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-10-17,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-10-15,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-10-14,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-10-10,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-10-09,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-10-09,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-10-08,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-10-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-29,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-25,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-24,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-09-19,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-19,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-18,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-17,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-16,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-14,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-10,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-09,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-09,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-05,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-05,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-05,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-05,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-05,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-05,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-04,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-02,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-02,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-02,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-09-01,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-27,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-26,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-24,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-22,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-22,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-22,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-22,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-21,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-21,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-20,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-20,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-08-19,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-19,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-08-19,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-18,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-18,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-17,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-15,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-15,,,,,,,,,,,中性,,,
600519,贵州茅台,2025-08-15,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-15,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-14,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-14,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-14,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-14,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-08-14,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-14,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-14,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-14,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-14,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-13,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-08-13,,,,,,,,,,,买入,,,
